order_id,customer_id,material_id,machine_id,product_id,customer_name,layer_count,surface_finish,start_date,end_date,deadline_date,shipping_date,quantity_requested,quantity_started,quantity_scrapped,quantity_remade,quantity_shipped,material_cost_usd,labor_cost_usd,maintenance_cost_usd,sales_price_per_board_usd,production_duration_days,is_delayed,delay_days,remake_needed,scrap_reason
ORD-1020,CUST-0235,MAT-003,MC-001,PROD-035,Solutions Solutions,20,Hard Gold,4/21/2023,5/12/2023,5/18/2023,5/12/2023,37,46,2,0,37,41.99,86.23,25.34,51.07,21,0,0,0,Delamination
ORD-1021,CUST-0300,MAT-005,MC-017,PROD-026,MultiLtd,16,ENIG,4/23/2023,5/14/2023,5/31/2023,6/7/2023,29,36,6,0,29,49.7,126.23,53.03,95.64,21,1,7,0,Over-etch
ORD-1022,CUST-0114,MAT-005,MC-011,PROD-022,Apex Logic LLC,12,HASL,10/25/2023,11/14/2023,11/26/2023,11/14/2023,56,67,10,0,56,95.02,62.83,36.12,94.33,20,0,0,0,Drill offset
ORD-1023,CUST-0125,MAT-002,MC-016,PROD-012,Fabrication AB,8,HASL,6/6/2023,7/1/2023,7/1/2023,7/5/2023,49,63,3,0,49,24.19,80.48,28.06,70.33,25,1,4,0,Drill offset
ORD-1024,CUST-0266,MAT-005,MC-024,PROD-033,Superior Corp,20,OSP,4/11/2023,4/26/2023,5/8/2023,4/26/2023,41,51,3,0,41,141.51,91.33,55.52,102.5,15,0,0,0,Drill offset
ORD-1025,CUST-0115,MAT-006,MC-026,PROD-042,InterfaceSystems,30,HASL,8/25/2023,9/8/2023,9/23/2023,9/8/2023,21,27,3,0,21,55.43,83.66,18.96,101.35,14,0,0,0,Short circuit
ORD-1026,CUST-0266,MAT-005,MC-002,PROD-014,Superior Corp,8,Immersion Gold,3/20/2023,3/27/2023,4/23/2023,3/27/2023,27,34,5,0,27,45.01,95.35,27.27,95.25,7,0,0,0,Over-etch
ORD-1027,CUST-0336,MAT-002,MC-004,PROD-029,Mega International,16,Immersion Gold,8/4/2023,8/29/2023,8/30/2023,8/27/2023,39,49,0,0,39,52.98,72.26,24.95,41.01,25,0,0,0,
ORD-1028,CUST-0002,MAT-001,MC-034,PROD-040,Swift Component Global,24,Hard Gold,6/16/2023,7/15/2023,7/15/2023,7/13/2023,26,31,2,0,26,26.37,134.89,78.32,77.19,29,0,0,0,Drill offset
ORD-1029,CUST-0284,MAT-006,MC-020,PROD-037,SuperiorData,24,HASL,10/19/2023,11/16/2023,11/25/2023,12/10/2023,37,44,10,7,37,22.97,139.13,60.86,56.97,28,1,15,1,Delamination
ORD-1030,CUST-0316,MAT-003,MC-017,PROD-016,ProLogic,10,ENIG,10/11/2023,11/3/2023,11/11/2023,11/17/2023,37,47,1,0,37,56.48,91.83,43.3,78.09,23,1,6,0,AOI defect
ORD-1031,CUST-0198,MAT-002,MC-017,PROD-036,MicroIndustries,24,ENIG,9/15/2023,10/17/2023,10/21/2023,11/8/2023,21,24,4,6,21,36.61,123.73,43.16,76.3,32,1,18,1,Delamination
ORD-1032,CUST-0203,MAT-006,MC-004,PROD-020,Advanced AB,10,Hard Gold,5/8/2023,5/20/2023,6/8/2023,5/20/2023,27,33,2,0,27,40.62,111.21,37.1,87.74,12,0,0,0,Contamination
ORD-1033,CUST-0221,MAT-003,MC-034,PROD-033,Digital Layer Industries,20,OSP,12/27/2023,1/20/2024,1/25/2024,1/20/2024,32,38,1,0,32,57.64,96.16,69.25,109.48,24,0,0,0,Contamination
ORD-1034,CUST-0178,MAT-003,MC-016,PROD-037,Solutions LLC,24,HASL,6/28/2023,7/6/2023,7/31/2023,7/6/2023,20,24,1,0,20,13.79,68.53,20.45,86.16,8,0,0,0,Short circuit
ORD-1035,CUST-0248,MAT-004,MC-010,PROD-045,Interface Group,30,Hard Gold,8/5/2023,8/19/2023,9/2/2023,8/19/2023,29,36,0,0,29,67.59,105.19,41.8,81.81,14,0,0,0,
ORD-1036,CUST-0133,MAT-003,MC-010,PROD-034,VertexComponent,20,Immersion Gold,6/15/2023,6/23/2023,7/13/2023,6/23/2023,39,49,1,0,39,81.91,70.45,29.52,59.19,8,0,0,0,Over-etch
ORD-1037,CUST-0234,MAT-003,MC-033,PROD-018,SignalGlobal,10,OSP,7/6/2023,7/20/2023,8/9/2023,7/20/2023,20,24,1,0,20,11.58,73.46,26.64,103.3,14,0,0,0,AOI defect
ORD-1038,CUST-0112,MAT-004,MC-020,PROD-044,HyperInterface,30,Immersion Gold,7/26/2023,8/6/2023,8/22/2023,8/29/2023,32,38,2,0,32,43.31,115.35,57.51,63.09,11,1,7,0,Delamination
ORD-1039,CUST-0042,MAT-005,MC-012,PROD-035,ManufacturingInc,20,Hard Gold,3/23/2023,4/13/2023,4/19/2023,4/13/2023,39,48,2,0,39,102.55,87.47,59.13,58.31,21,0,0,0,Drill offset
ORD-1040,CUST-0044,MAT-004,MC-012,PROD-020,Apex Flex Inc,10,Hard Gold,8/28/2023,9/14/2023,10/7/2023,10/26/2023,56,69,14,6,56,182.35,101.82,43.56,90.78,17,1,19,1,Delamination
ORD-1041,CUST-0117,MAT-001,MC-016,PROD-031,FabricationLLC,20,ENIG,6/3/2023,6/20/2023,7/11/2023,6/20/2023,50,60,3,0,50,54.13,97.99,26.89,42.94,17,0,0,0,Short circuit
ORD-1042,CUST-0047,MAT-004,MC-001,PROD-041,PCBTechnologies,30,ENIG,2/9/2023,3/9/2023,3/20/2023,3/9/2023,40,46,3,0,40,76.39,104.61,31.15,75.36,28,0,0,0,AOI defect
ORD-1043,CUST-0313,MAT-006,MC-029,PROD-002,Rigid Systems,4,HASL,1/9/2023,1/19/2023,2/3/2023,1/19/2023,55,64,5,0,55,158.08,71.16,41.29,72.64,10,0,0,0,Drill offset
ORD-1044,CUST-0017,MAT-003,MC-014,PROD-017,Inno Industries,10,HASL,4/27/2023,5/31/2023,6/4/2023,6/24/2023,27,32,7,5,27,77.84,106.03,30.41,70.69,34,1,20,1,Drill offset
ORD-1045,CUST-0090,MAT-002,MC-027,PROD-020,Nano Assembly Solutions,10,Hard Gold,11/17/2023,12/4/2023,12/20/2023,12/4/2023,28,35,2,0,28,40.84,121.6,58.82,92.8,17,0,0,0,Drill offset
ORD-1046,CUST-0301,MAT-003,MC-015,PROD-043,Electro Connect Group,30,OSP,11/15/2023,12/6/2023,12/20/2023,12/6/2023,54,66,4,0,54,102.73,86.7,30.16,43.49,21,0,0,0,Drill offset
ORD-1047,CUST-0121,MAT-001,MC-034,PROD-021,Data Global,12,ENIG,9/23/2023,10/15/2023,10/19/2023,10/15/2023,44,53,4,0,44,59.94,118.54,76.47,82.08,22,0,0,0,Short circuit
ORD-1048,CUST-0205,MAT-001,MC-031,PROD-029,HyperCircuit,16,Immersion Gold,6/24/2023,7/16/2023,7/27/2023,7/16/2023,29,35,0,0,29,31.08,133.14,65.11,108.75,22,0,0,0,
ORD-1049,CUST-0189,MAT-006,MC-019,PROD-035,Delta Global,20,Hard Gold,5/11/2023,6/6/2023,6/7/2023,6/5/2023,60,75,6,0,60,246.95,110.24,59.06,47.88,26,0,0,0,AOI defect
ORD-1050,CUST-0298,MAT-006,MC-003,PROD-005,ConnectSolutions,4,Hard Gold,8/28/2023,9/14/2023,9/23/2023,9/14/2023,26,31,2,0,26,51.82,77.95,26.09,94.54,17,0,0,0,AOI defect
ORD-1051,CUST-0323,MAT-006,MC-002,PROD-027,SwiftMulti,16,HASL,3/6/2023,3/31/2023,4/4/2023,3/31/2023,25,31,2,0,25,54.39,121.47,26.5,77.22,25,0,0,0,Drill offset
ORD-1052,CUST-0123,MAT-002,MC-016,PROD-022,Alpha Industries,12,HASL,5/18/2023,6/14/2023,6/25/2023,6/14/2023,30,34,3,0,30,45.05,74.45,23.02,78.66,27,0,0,0,Delamination
ORD-1053,CUST-0027,MAT-005,MC-034,PROD-039,Global LLC,24,Immersion Gold,4/19/2023,5/8/2023,5/22/2023,5/29/2023,42,51,1,0,42,102.99,96.01,71.18,88.51,19,1,7,0,Contamination
ORD-1054,CUST-0322,MAT-003,MC-007,PROD-030,Prime Board SpA,16,Hard Gold,7/10/2023,7/25/2023,8/8/2023,7/25/2023,34,42,2,0,34,41.69,95.34,41.45,98.59,15,0,0,0,Over-etch
ORD-1055,CUST-0028,MAT-003,MC-020,PROD-018,PlusBoard,10,OSP,2/10/2023,2/28/2023,3/15/2023,2/28/2023,40,50,6,0,40,114.53,144.48,63.92,63.61,18,0,0,0,Over-etch
ORD-1056,CUST-0243,MAT-004,MC-006,PROD-037,Mega Technologies,24,HASL,11/26/2023,1/1/2024,12/23/2023,1/9/2024,27,32,6,5,27,13.26,126.94,39.6,93.83,36,1,17,1,Short circuit
ORD-1057,CUST-0326,MAT-003,MC-006,PROD-023,FlexGlobal,12,OSP,8/19/2023,9/2/2023,9/28/2023,10/3/2023,44,56,0,0,44,57.88,108.84,41.49,90.83,14,1,5,0,
ORD-1058,CUST-0222,MAT-001,MC-012,PROD-042,Meta SpA,30,HASL,6/23/2023,7/9/2023,8/2/2023,7/9/2023,39,48,6,0,39,55.22,72.14,41.87,93.64,16,0,0,0,AOI defect
ORD-1059,CUST-0029,MAT-002,MC-009,PROD-017,Pro Assembly GmbH,10,HASL,9/18/2023,9/28/2023,10/28/2023,9/28/2023,46,56,4,0,46,13.85,86.77,29.93,116.04,10,0,0,0,Contamination
ORD-1060,CUST-0053,MAT-004,MC-009,PROD-002,BetaFlex,4,HASL,10/4/2023,10/19/2023,11/4/2023,10/19/2023,43,52,1,0,43,31.53,81.73,26.47,117.69,15,0,0,0,Drill offset
ORD-1061,CUST-0282,MAT-003,MC-012,PROD-023,TronHoldings,12,OSP,1/11/2023,2/4/2023,2/11/2023,2/4/2023,35,45,0,0,35,46.56,83.67,42.31,40.23,24,0,0,0,
ORD-1062,CUST-0254,MAT-006,MC-017,PROD-034,FlexSolutions,20,Immersion Gold,10/5/2023,10/12/2023,11/3/2023,11/10/2023,28,34,0,0,28,91.63,86.32,44.23,61.23,7,1,7,0,
ORD-1063,CUST-0027,MAT-002,MC-019,PROD-026,Global LLC,16,ENIG,3/14/2023,4/16/2023,4/22/2023,5/4/2023,53,61,10,7,53,88.91,95.55,35.28,109.36,33,1,12,1,Delamination
ORD-1064,CUST-0321,MAT-003,MC-009,PROD-031,GlobalTron,20,ENIG,7/15/2023,8/12/2023,8/12/2023,8/9/2023,21,24,0,0,21,11.7,72.17,23.6,45.25,28,0,0,0,
ORD-1065,CUST-0009,MAT-005,MC-004,PROD-026,SystemsElectronics,16,ENIG,4/21/2023,5/7/2023,5/30/2023,5/7/2023,57,70,6,0,57,42.6,122.37,39.72,92.07,16,0,0,0,Over-etch
ORD-1066,CUST-0006,MAT-004,MC-019,PROD-017,Tron SA,10,HASL,9/24/2023,10/13/2023,11/1/2023,10/13/2023,33,40,1,0,33,57.36,103.0,56.3,52.21,19,0,0,0,Drill offset
ORD-1067,CUST-0046,MAT-001,MC-029,PROD-010,QuantumLogic,6,Hard Gold,11/3/2023,11/21/2023,12/2/2023,11/21/2023,25,31,4,0,25,28.22,102.07,44.44,115.29,18,0,0,0,Contamination
ORD-1068,CUST-0317,MAT-002,MC-020,PROD-026,Logic Industries,16,ENIG,6/24/2023,7/19/2023,7/25/2023,7/19/2023,23,29,0,0,23,14.54,79.52,36.44,69.4,25,0,0,0,
ORD-1069,CUST-0346,MAT-005,MC-007,PROD-009,Alpha Systems,6,Immersion Gold,9/19/2023,10/15/2023,10/14/2023,10/12/2023,34,43,4,0,34,18.9,89.14,36.63,113.72,26,0,0,0,Over-etch
ORD-1070,CUST-0204,MAT-003,MC-026,PROD-016,Power Systems,10,ENIG,5/6/2023,6/2/2023,5/31/2023,6/5/2023,29,35,0,0,29,27.7,86.84,22.11,69.6,27,1,5,0,
ORD-1071,CUST-0229,MAT-003,MC-021,PROD-035,ComponentSA,20,Hard Gold,9/25/2023,10/3/2023,10/22/2023,10/3/2023,56,69,1,0,56,94.65,86.14,51.05,100.4,8,0,0,0,Over-etch
ORD-1072,CUST-0130,MAT-001,MC-036,PROD-028,SemiSolutions,16,OSP,3/14/2023,3/30/2023,4/9/2023,3/30/2023,27,32,1,0,27,5.71,76.05,37.99,50.98,16,0,0,0,Contamination
ORD-1073,CUST-0304,MAT-001,MC-026,PROD-020,Neo Signal International,10,Hard Gold,4/11/2023,4/30/2023,5/13/2023,4/30/2023,27,31,0,0,27,7.74,102.19,28.99,41.5,19,0,0,0,
ORD-1074,CUST-0010,MAT-002,MC-027,PROD-041,Rapid Net AS,30,ENIG,11/28/2023,12/14/2023,12/26/2023,12/14/2023,40,49,3,0,40,21.16,123.99,62.34,95.17,16,0,0,0,Drill offset
ORD-1075,CUST-0326,MAT-005,MC-011,PROD-034,FlexGlobal,20,Immersion Gold,5/14/2023,5/30/2023,6/18/2023,5/30/2023,26,30,1,0,26,16.61,106.39,57.33,55.51,16,0,0,0,Drill offset
ORD-1076,CUST-0299,MAT-005,MC-004,PROD-031,Tech Corp,20,ENIG,9/12/2023,9/23/2023,10/9/2023,9/23/2023,29,34,4,0,29,50.52,103.47,36.5,94.49,11,0,0,0,Over-etch
ORD-1077,CUST-0304,MAT-002,MC-034,PROD-040,Neo Signal International,24,Hard Gold,11/21/2023,12/2/2023,12/30/2023,1/3/2024,60,77,7,0,60,80.17,119.31,73.29,68.16,11,1,4,0,Delamination
ORD-1078,CUST-0296,MAT-002,MC-036,PROD-013,Fast GmbH,8,OSP,2/15/2023,2/24/2023,3/24/2023,2/24/2023,48,55,1,0,48,44.02,122.5,52.83,65.72,9,0,0,0,Contamination
ORD-1079,CUST-0023,MAT-002,MC-007,PROD-030,Tech AS,16,Hard Gold,6/5/2023,6/14/2023,7/5/2023,7/11/2023,23,28,2,0,23,21.97,93.53,41.41,52.7,9,1,6,0,Contamination
ORD-1080,CUST-0189,MAT-004,MC-031,PROD-037,Delta Global,24,HASL,5/10/2023,6/6/2023,6/14/2023,6/15/2023,44,53,3,0,44,93.18,82.21,48.75,108.13,27,1,1,0,Contamination
ORD-1081,CUST-0338,MAT-005,MC-033,PROD-029,Meta Corp,16,Immersion Gold,12/20/2023,1/7/2024,1/23/2024,1/7/2024,29,34,0,0,29,23.12,95.32,36.91,84.71,18,0,0,0,
ORD-1082,CUST-0151,MAT-004,MC-003,PROD-039,OmegaData,24,Immersion Gold,8/11/2023,9/3/2023,9/7/2023,9/3/2023,28,35,2,0,28,57.26,61.59,21.35,116.09,23,0,0,0,Contamination
ORD-1083,CUST-0324,MAT-003,MC-028,PROD-001,Plus Tron International,4,ENIG,5/25/2023,6/10/2023,6/22/2023,6/10/2023,51,60,0,0,51,104.99,125.68,83.2,87.78,16,0,0,0,
ORD-1084,CUST-0035,MAT-003,MC-011,PROD-029,Board International,16,Immersion Gold,3/6/2023,3/24/2023,4/7/2023,3/24/2023,59,75,12,0,59,145.79,105.09,62.61,59.13,18,0,0,0,Drill offset
ORD-1085,CUST-0307,MAT-001,MC-028,PROD-022,Core Component Technologies,12,HASL,12/26/2023,1/16/2024,2/3/2024,1/16/2024,50,64,12,0,50,46.45,81.44,62.9,55.98,21,0,0,0,Over-etch
ORD-1086,CUST-0290,MAT-005,MC-006,PROD-009,SolutionsLLC,6,Immersion Gold,8/28/2023,9/26/2023,9/25/2023,9/24/2023,36,41,1,0,36,42.07,108.78,49.1,75.0,29,0,0,0,AOI defect
ORD-1087,CUST-0335,MAT-005,MC-015,PROD-007,Plus Ltd,6,HASL,12/8/2023,12/31/2023,1/13/2024,12/31/2023,48,61,2,0,48,77.57,75.62,25.14,107.13,23,0,0,0,Drill offset
ORD-1088,CUST-0341,MAT-003,MC-013,PROD-034,SysGmbH,20,Immersion Gold,8/26/2023,9/6/2023,10/5/2023,9/6/2023,29,33,2,0,29,75.01,59.64,22.01,51.96,11,0,0,0,Contamination
ORD-1089,CUST-0276,MAT-003,MC-021,PROD-045,AtlasLogic,30,Hard Gold,12/20/2023,12/28/2023,1/21/2024,12/28/2023,53,64,1,0,53,29.74,118.46,65.02,82.88,8,0,0,0,AOI defect
ORD-1090,CUST-0249,MAT-003,MC-005,PROD-002,Nexus Flex Holdings,4,HASL,8/19/2023,9/6/2023,9/20/2023,9/6/2023,35,44,0,0,35,77.22,80.84,25.34,45.41,18,0,0,0,
ORD-1091,CUST-0071,MAT-002,MC-034,PROD-010,QuantumManufacturing,6,Hard Gold,7/17/2023,8/5/2023,8/22/2023,8/5/2023,52,64,2,0,52,43.36,63.05,43.56,92.57,19,0,0,0,Contamination
ORD-1092,CUST-0278,MAT-003,MC-033,PROD-014,Manufacturing GmbH,8,Immersion Gold,2/19/2023,3/3/2023,3/30/2023,3/3/2023,41,47,1,0,41,79.2,100.22,39.13,102.1,12,0,0,0,Contamination
ORD-1093,CUST-0235,MAT-003,MC-011,PROD-024,Solutions Solutions,12,Immersion Gold,6/10/2023,7/3/2023,7/17/2023,7/3/2023,32,37,4,0,32,32.31,101.71,61.54,68.56,23,0,0,0,Delamination
ORD-1094,CUST-0111,MAT-001,MC-025,PROD-013,Global Net SA,8,OSP,9/28/2023,10/28/2023,11/6/2023,10/28/2023,41,48,2,0,41,26.14,81.34,44.97,69.39,30,0,0,0,Drill offset
ORD-1095,CUST-0015,MAT-005,MC-026,PROD-020,Nexus Manufacturing Corp,10,Hard Gold,10/9/2023,11/2/2023,11/12/2023,11/2/2023,25,31,5,0,25,35.92,82.1,20.17,97.41,24,0,0,0,Short circuit
ORD-1096,CUST-0211,MAT-006,MC-035,PROD-037,Digi Solutions,24,HASL,3/15/2023,4/4/2023,4/17/2023,4/4/2023,42,51,4,0,42,33.39,100.92,35.08,104.09,20,0,0,0,Over-etch
ORD-1097,CUST-0145,MAT-006,MC-017,PROD-003,BetaInterface,4,OSP,8/1/2023,8/10/2023,9/2/2023,8/10/2023,29,37,1,0,29,54.6,106.6,54.27,52.28,9,0,0,0,Short circuit
ORD-1098,CUST-0011,MAT-006,MC-022,PROD-013,Gamma Industries,8,OSP,6/12/2023,7/1/2023,7/17/2023,7/1/2023,43,52,7,0,43,165.73,59.41,18.84,81.42,19,0,0,0,Delamination
ORD-1099,CUST-0207,MAT-005,MC-008,PROD-035,Control Solutions,20,Hard Gold,11/4/2023,11/30/2023,12/8/2023,11/30/2023,36,45,0,0,36,38.31,63.1,38.47,53.81,26,0,0,0,
ORD-1100,CUST-0231,MAT-002,MC-015,PROD-005,Rigid Technologies,4,Hard Gold,9/3/2023,9/19/2023,10/3/2023,9/19/2023,40,50,2,0,40,62.82,85.32,36.89,56.08,16,0,0,0,Delamination
ORD-1101,CUST-0010,MAT-002,MC-034,PROD-044,Rapid Net AS,30,Immersion Gold,3/26/2023,4/6/2023,4/22/2023,4/26/2023,51,58,2,0,51,88.71,111.79,70.13,101.53,11,1,4,0,Over-etch
ORD-1102,CUST-0049,MAT-001,MC-016,PROD-008,Summit Board Holdings,6,OSP,10/3/2023,10/26/2023,11/8/2023,10/26/2023,28,36,1,0,28,36.66,72.89,21.68,109.46,23,0,0,0,Contamination
ORD-1103,CUST-0020,MAT-003,MC-002,PROD-013,Ultra Tron AG,8,OSP,10/17/2023,11/20/2023,11/13/2023,11/26/2023,29,34,7,5,29,25.54,151.99,31.11,90.0,34,1,13,1,Short circuit
ORD-1104,CUST-0275,MAT-003,MC-007,PROD-030,Sys Holdings,16,Hard Gold,8/3/2023,8/31/2023,9/7/2023,8/31/2023,52,64,3,0,52,134.41,56.51,29.59,91.32,28,0,0,0,Short circuit
ORD-1105,CUST-0171,MAT-003,MC-014,PROD-025,Phoenix International,12,Hard Gold,7/21/2023,8/17/2023,8/24/2023,8/17/2023,33,41,2,0,33,56.0,123.41,44.12,63.79,27,0,0,0,Drill offset
ORD-1106,CUST-0203,MAT-005,MC-015,PROD-034,Advanced AB,20,Immersion Gold,2/2/2023,2/28/2023,3/3/2023,2/28/2023,30,36,0,0,30,76.89,138.6,45.5,50.46,26,0,0,0,
ORD-1107,CUST-0280,MAT-003,MC-007,PROD-033,Quantum SpA,20,OSP,5/18/2023,6/1/2023,6/16/2023,6/19/2023,26,31,0,0,26,73.09,117.03,53.63,117.01,14,1,3,0,
ORD-1108,CUST-0339,MAT-003,MC-026,PROD-034,ApexChip,20,Immersion Gold,11/27/2023,12/9/2023,1/6/2024,12/9/2023,40,51,0,0,40,71.39,71.3,20.37,115.62,12,0,0,0,
ORD-1109,CUST-0344,MAT-006,MC-013,PROD-023,SysSA,12,OSP,7/8/2023,8/4/2023,8/17/2023,8/4/2023,33,40,6,0,33,114.52,103.79,30.91,98.2,27,0,0,0,Over-etch
ORD-1110,CUST-0063,MAT-001,MC-015,PROD-013,Wave Industries,8,OSP,9/12/2023,10/6/2023,10/16/2023,10/21/2023,22,26,0,0,22,17.36,110.55,37.89,89.86,24,1,5,0,
ORD-1111,CUST-0116,MAT-001,MC-017,PROD-022,ModuleSpA,12,HASL,8/5/2023,8/16/2023,9/5/2023,8/16/2023,26,31,1,0,26,22.4,59.45,29.1,66.64,11,0,0,0,Delamination
ORD-1112,CUST-0153,MAT-003,MC-020,PROD-021,Superior Ltd,12,ENIG,6/15/2023,7/2/2023,7/15/2023,7/2/2023,29,35,1,0,29,56.12,97.53,49.56,79.19,17,0,0,0,Over-etch
ORD-1113,CUST-0185,MAT-001,MC-001,PROD-045,Delta Semi Electronics,30,Hard Gold,7/16/2023,8/1/2023,8/10/2023,8/1/2023,21,25,2,0,21,30.97,125.34,34.23,86.21,16,0,0,0,Over-etch
ORD-1114,CUST-0038,MAT-002,MC-016,PROD-033,Rigid Solutions,20,OSP,9/19/2023,9/30/2023,10/21/2023,10/27/2023,50,58,3,0,50,20.28,61.73,19.56,52.11,11,1,6,0,Drill offset
ORD-1115,CUST-0294,MAT-001,MC-033,PROD-012,Net Inc,8,HASL,8/14/2023,9/13/2023,9/9/2023,9/8/2023,52,65,5,0,52,51.34,127.97,43.16,70.15,30,0,0,0,Contamination
ORD-1116,CUST-0170,MAT-001,MC-036,PROD-030,TechConnect,16,Hard Gold,12/15/2023,1/12/2024,1/17/2024,1/12/2024,54,64,4,0,54,78.58,77.08,37.33,115.32,28,0,0,0,Contamination
ORD-1117,CUST-0194,MAT-003,MC-026,PROD-014,Tech Component Manufacturing,8,Immersion Gold,12/25/2023,1/12/2024,1/27/2024,1/12/2024,38,47,2,0,38,105.82,85.41,21.71,101.85,18,0,0,0,Drill offset
ORD-1118,CUST-0231,MAT-006,MC-016,PROD-029,Rigid Technologies,16,Immersion Gold,3/2/2023,3/17/2023,4/11/2023,3/17/2023,38,49,11,0,38,152.31,96.48,32.57,89.25,15,0,0,0,Contamination
ORD-1119,CUST-0212,MAT-005,MC-016,PROD-013,SuperiorMulti,8,OSP,7/8/2023,7/18/2023,8/15/2023,7/18/2023,23,28,1,0,23,17.13,95.81,34.0,84.03,10,0,0,0,AOI defect
